SampleDate,Count,CommonName,BuildingCode,ForkLength,Year,Month
1/16/2006,1,White Sturgeon,Skinner FF (New),428,2006,Jan
8/2/2006,1,White Sturgeon,Skinner FF (Old),285,2006,Aug
10/17/2006,1,White Sturgeon,Skinner FF (Old),280,2006,Oct
10/27/2006,1,White Sturgeon,Tracy FF,247,2006,Oct
11/11/2006,1,White Sturgeon,Skinner FF (New),350,2006,Nov
2/26/2007,1,White Sturgeon,Tracy FF,310,2007,Feb
3/12/2007,1,White Sturgeon,Tracy FF,347,2007,Mar
3/19/2007,1,White Sturgeon,Skinner FF (New),395,2007,Mar
3/29/2007,1,White Sturgeon,Tracy FF,351,2007,Mar
4/5/2007,1,White Sturgeon,Tracy FF,255,2007,Apr
7/15/2007,1,White Sturgeon,Tracy FF,457,2007,Jul
7/31/2007,1,White Sturgeon,Skinner FF (New),349,2007,Jul
10/21/2007,1,White Sturgeon,Skinner FF (New),440,2007,Oct
11/1/2007,1,White Sturgeon,Skinner FF (New),440,2007,Nov
11/4/2007,1,White Sturgeon,Skinner FF (New),410,2007,Nov
12/7/2007,1,White Sturgeon,Skinner FF (New),460,2007,Dec
1/27/2008,1,White Sturgeon,Skinner FF (New),390,2008,Jan
2/21/2008,1,White Sturgeon,Skinner FF (New),502,2008,Feb
2/25/2008,1,White Sturgeon,Skinner FF (Old),480,2008,Feb
3/11/2008,1,White Sturgeon,Skinner FF (New),423,2008,Mar
4/2/2008,1,White Sturgeon,Skinner FF (New),483,2008,Apr
4/4/2008,1,White Sturgeon,Skinner FF (New),495,2008,Apr
4/26/2008,1,White Sturgeon,Skinner FF (New),468,2008,Apr
9/27/2008,1,White Sturgeon,Skinner FF (New),563,2008,Sep
11/30/2009,1,White Sturgeon,Skinner FF (New),259,2009,Nov
3/14/2010,1,White Sturgeon,Skinner FF (Old),310,2010,Mar
5/10/2011,1,White Sturgeon,Tracy FF,59,2011,May
5/11/2011,1,White Sturgeon,Tracy FF,50,2011,May
6/8/2011,1,White Sturgeon,Skinner FF (New),365,2011,Jun
6/10/2011,2,White Sturgeon,Tracy FF,60,2011,Jun
6/10/2011,2,White Sturgeon,Tracy FF,107,2011,Jun
6/10/2011,1,White Sturgeon,Tracy FF,105,2011,Jun
6/26/2011,1,White Sturgeon,Tracy FF,140,2011,Jun
6/26/2011,1,White Sturgeon,Tracy FF,170,2011,Jun
6/30/2011,1,White Sturgeon,Skinner FF (New),185,2011,Jun
7/2/2011,1,White Sturgeon,Tracy FF,162,2011,Jul
7/3/2011,1,White Sturgeon,Tracy FF,190,2011,Jul
7/16/2011,1,White Sturgeon,Tracy FF,180,2011,Jul
7/28/2011,1,White Sturgeon,Tracy FF,194,2011,Jul
8/1/2011,1,White Sturgeon,Tracy FF,231,2011,Aug
8/2/2011,1,White Sturgeon,Tracy FF,235,2011,Aug
8/2/2011,1,White Sturgeon,Tracy FF,263,2011,Aug
8/5/2011,1,White Sturgeon,Tracy FF,290,2011,Aug
8/8/2011,1,White Sturgeon,Tracy FF,263,2011,Aug
8/9/2011,1,White Sturgeon,Tracy FF,227,2011,Aug
8/15/2011,1,White Sturgeon,Tracy FF,292,2011,Aug
8/19/2011,1,White Sturgeon,Tracy FF,256,2011,Aug
8/26/2011,2,White Sturgeon,Tracy FF,230,2011,Aug
8/26/2011,2,White Sturgeon,Tracy FF,340,2011,Aug
8/28/2011,1,White Sturgeon,Tracy FF,305,2011,Aug
9/8/2011,1,White Sturgeon,Tracy FF,310,2011,Sep
9/15/2011,1,White Sturgeon,Tracy FF,285,2011,Sep
9/19/2011,1,White Sturgeon,Tracy FF,335,2011,Sep
6/13/2012,1,White Sturgeon,Skinner FF (Old),358,2012,Jun
11/19/2012,1,White Sturgeon,Tracy FF,317,2012,Nov
1/1/2013,1,White Sturgeon,Skinner FF (New),427,2013,Jan
1/12/2013,1,White Sturgeon,Skinner FF (New),378,2013,Jan
5/2/2013,1,White Sturgeon,Skinner FF (New),309,2013,May
5/2/2013,1,White Sturgeon,Skinner FF (New),352,2013,May
10/1/2016,1,White Sturgeon,Tracy FF,360,2016,Oct
12/3/2016,1,White Sturgeon,Skinner FF (New),370,2016,Dec
12/13/2016,1,White Sturgeon,Skinner FF (New),442,2016,Dec
1/18/2017,1,White Sturgeon,Skinner FF (New),360,2017,Jan
2/2/2017,1,White Sturgeon,Skinner FF (New),410,2017,Feb
5/18/2017,1,White Sturgeon,Skinner FF (Old),80,2017,May
6/3/2017,1,White Sturgeon,Tracy FF,140,2017,Jun
6/4/2017,1,White Sturgeon,Skinner FF (Old),144,2017,Jun
6/19/2017,1,White Sturgeon,Tracy FF,82,2017,Jun
7/17/2017,2,White Sturgeon,Tracy FF,277,2017,Jul
7/17/2017,2,White Sturgeon,Tracy FF,209,2017,Jul
7/24/2017,1,White Sturgeon,Tracy FF,270,2017,Jul
8/2/2017,1,White Sturgeon,Skinner FF (New),258,2017,Aug
8/3/2017,1,White Sturgeon,Tracy FF,326,2017,Aug
8/13/2017,1,White Sturgeon,Tracy FF,315,2017,Aug
8/15/2017,1,White Sturgeon,Tracy FF,290,2017,Aug
4/9/2018,1,White Sturgeon,Skinner FF (Old),349,2018,Apr
5/15/2018,1,White Sturgeon,Tracy FF,441,2018,May
11/14/2018,1,White Sturgeon,Tracy FF,235,2018,Nov
1/16/2019,1,White Sturgeon,Skinner FF (New),489,2019,Jan
1/16/2019,1,White Sturgeon,Skinner FF (Old),540,2019,Jan
3/13/2019,1,White Sturgeon,Skinner FF (New),537,2019,Mar
8/15/2019,1,White Sturgeon,Tracy FF,225,2019,Aug
9/1/2019,1,White Sturgeon,Tracy FF,275,2019,Sep
9/2/2019,1,White Sturgeon,Tracy FF,279,2019,Sep
